,Angle,PositionAt110Y,HangTime,HitSpinRate,PositionAt110X,LastTrackedDistance,ExitSpeed,PlayResult,cluster #
833,19.18442499,35.26512433,3.165553589,3257.313856,95.02007128,167.8410017,98.52876012,0,2
834,11.7198517,10.72598128,1.54968811,1395.016726,104.4431433,157.4127514,90.32411568,0,1
837,13.66822758,18.77594495,2.123950195,546.2781497999998,109.1589295,233.5045336,97.81025849,1,1
839,14.18141999,16.85933503,2.096146851,2167.752943,104.2741372,193.2243644,78.90481558,1,2
847,20.20489478,34.02125972,3.393803101,2485.046716,107.4480838,312.2838541000001,93.10233927,1,2
848,21.6099806,19.42191794,2.1580957030000003,1062.498157,85.68003015,165.8235404,66.23694514,1,1
851,27.63582984,56.16552489,5.356201782,2975.896447,93.83965351,125.47859440000002,101.6170974,1,2
861,55.06743544,126.7841555,5.762582397,3912.032693,102.2248461,81.36150653,86.23710666,0,0
863,5.153101667,1.355972447,0.975748901,1150.734419,108.7873757,117.1916022,96.75165758,0,1
868,22.57739498,38.75936184,3.515373535,1377.439532,105.9295728,307.8644494,91.7023974,1,1
877,27.94811805,53.4340934,4.768873901,2728.349405,106.1410478,357.0769272,93.7162935,1,2
884,24.49260845,46.92721843,4.268873901,3715.268571,107.3201563,354.7092773,96.94712643,1,0
887,18.48007027,29.62980289,2.971985474,780.1007256,105.0206763,274.26577050000003,93.83917278,0,1
889,12.22147858,18.42890378,2.501636963,2389.028437,109.010543,273.39831210000006,101.66342009999998,1,2
890,13.98929357,20.96548531,2.453796387,751.028399,109.4285058,270.5422388,103.05539509999998,1,1
892,34.23143999,70.41151081,5.557793579,3104.010107,103.8288416,129.769789,94.89150414,0,2
895,49.19783888,108.456241,5.361762085,4355.442522,85.46430978,84.16214963,87.49968699,0,0
896,35.88180678,72.91087905,5.2220013430000005,4245.001665,93.69994229,98.99745832,89.04996145,1,0
898,36.25883528,75.00573972,5.54128479,2843.568154,98.08626597,107.1684544,93.85107672,1,2
904,13.59410744,16.22835969,1.953231812,675.4543764,104.8342846,202.0206523,89.09031272,1,1
906,46.60469065,104.7119533,5.517028197999999,4543.537872,109.16200259999998,151.80598730000003,91.14906854,0,0
907,10.66548819,7.946085992,1.315587769,1682.375916,97.23141381,154.371198,94.29780106,1,1
908,37.47049295,72.17507308,4.845661011,4111.0137380000015,104.8001092,296.5194943,84.12653539,0,0
910,22.12646433,41.43440436,3.989927368,1944.708288,104.4332729,340.4305492000001,97.56522669,1,1
916,60.92507227,169.0120552,6.637250366,4586.433748,106.6760637,50.37385206,92.89432169,0,0
919,3.154107207,0.92804852,0.85531311,718.4502397000001,109.8801957,110.9499001,105.01041,1,1
920,18.90235621,31.01038822,3.16718689,1209.976392,109.7438583,301.98284069999994,100.1811147,0,1
921,24.28178871,35.46968411,3.282593994,2391.630401000001,109.5977019,245.5324046,73.5380104,1,2
922,26.8735119,48.95312612,3.976602173,4067.432165,91.3334965,126.9643487,94.30531231,1,0
924,35.80847184,60.97494057,3.967119751,4982.907763,96.61510295,141.1949554,75.30699693,0,0
926,6.352730534,1.6395313809999998,0.976154175,618.2398965,109.5420101,118.2166156,94.10129614,1,1
931,12.53892403,18.30190532,2.186361084,2847.436945,100.8843026,235.7134127,96.69106864,1,2
933,7.802930702999999,10.70263326,1.772572021,1035.168942,103.8157357,213.56237940000003,105.6178833,1,1
936,22.03015583,39.17278011,3.577106323,3010.861708,88.38259917,150.33970469999997,100.373784,1,2
938,11.8741137,10.86029449,1.536310425,3347.014233,84.79842949,138.55291609999998,90.55718439,1,2
941,55.5371687,139.97900249999998,6.1757305910000015,5228.532115,109.7762737,71.16644586,91.46444248,0,0
943,37.1619586,79.03298961,5.384631958,3919.131065,107.8605159,158.13725019999995,94.2650221,0,0
948,12.36904386,16.8065285,2.131654663,3008.454469,101.0534947,226.7475192,96.74738128,1,2
950,22.84188381,43.97053298,4.058582153,1321.5312720000004,103.169934,329.6956516,99.1436652,0,1
952,8.864883207,10.14523051,1.780758667,1626.695027,109.4747148,147.0541116,85.56315991,0,1
954,21.41169772,29.02918416,2.836923828,1012.368458,109.4887458,225.34381,76.92867666,1,1
956,24.62196963,44.50390388,4.413982544,2596.462736,109.5811659,338.4305470000001,94.06193874,0,2
957,33.67166629,29.91666914,3.009596558,3990.248287,100.9129656,151.03735590000005,54.83243246,0,0
958,5.742540687000001,2.87918976,1.004517212,948.0488602,109.9889962,127.06797240000002,99.82921711,1,1
959,6.464613268,3.073063942,1.011587524,1494.942102,104.0027403,126.4724531,98.14732,0,1
960,26.421699199999995,52.46155546,5.226364136,2902.923343,95.29791281,142.03985469999995,97.52094355,1,2
961,43.92354678,78.20968441,4.589299927,4296.707165999999,102.8503988,98.08815417,68.78367512,0,0
962,21.00886032,35.82481482,3.054855347,2196.056356,95.47928964,195.3201517,98.24799087,0,2
963,38.40802064,77.84860065,5.116050415,4931.453803,105.51068490000002,101.6461338,83.90934254,0,0
965,52.99688743,106.0725315,5.019896851,4351.562608,101.3480578,108.7573853,76.28275440000002,0,0
967,10.35235797,5.043879968,1.315011597,761.9149005,106.94579640000002,133.2297171,80.24037627,0,1
968,23.42530089,41.88826264,3.962966919,4166.609938000001,92.23077878,147.9052811,96.98233341,1,0
970,7.788218078,6.49816215,1.353240967,1137.263773,109.849459,150.959003,89.36227686,1,1
972,36.94728297,62.6792632,4.184866333,4462.993643,100.8405023,243.03814,72.15187277,0,0
973,20.66993086,34.64852606,3.482432251,3747.258966,107.7913942,304.1850557,92.22674801,0,0
974,32.11038043,49.15137965,3.73602356,4788.553862,96.33532684,235.97262290000003,71.8211048,1,0
977,10.74228593,12.86125315,1.6970013430000002,1214.260272,103.8946948,197.0407503,98.471111,1,1
979,8.143435647,5.701759391,1.334338989,750.594908,109.9983777,54.19745359,88.2883077,0,1
980,58.62714525,83.7081041,4.774983521,4974.127184,58.85751309,37.1422672,64.31989545,0,0
982,30.79907175,61.62023089,5.255250854,4311.104154,104.8496405,187.7015617,95.27524449,1,0
991,22.82823797,43.43608826,4.3611566160000015,2312.142603,106.4896114,372.686053,100.045912,1,2
994,62.18172629,139.41959690000002,5.798549194,5128.613531,97.25490254,55.53583412,86.51258838,0,0
997,10.38342518,7.542669897000001,1.199458008,714.6610921,109.43721399999998,148.11441200000004,97.92843242,1,1
998,23.28115341,42.45296870000001,4.196845093,2734.200162,109.7149114,354.1023341,93.7569211,0,2
1002,14.35082211,17.45567366,2.183105469,2520.60393,109.5951538,207.4870456,83.36726986,1,2
1005,31.70515515,65.93450136,5.083187866,3961.460796,108.838846,344.9508908,89.59840249,0,0
1006,45.44688279,99.14858959,4.766954956,4343.099522,99.75212254,133.5659349,90.88982748,0,0
1011,11.6035284,19.42885845,2.435281372,1300.029012,109.9972887,277.9097656,105.3733726,0,1
1012,15.01274996,24.18788502,2.561868286,905.6519022,109.91232250000002,284.9865856,102.3537569,1,1
1013,32.50194289,68.82584345,5.777046509,2522.980281,99.67276282,123.9836379,104.0574395,1,2
1014,30.47348241,61.45322149,5.430541382,2376.858015,106.6944425,175.5444897,100.7433725,1,2
1017,7.115954101,4.5667638230000005,1.053200073,3584.446005,84.10264088,119.6523695,107.8962047,0,0
1018,7.762590912999999,9.068192328,1.48847229,2264.491313,105.3458768,177.7261453,96.20945729,1,2
1019,33.35794735,65.54476653,4.70109436,4076.7659770000014,88.6263168,100.4975506,87.87512489,1,0
1020,51.35383970000001,128.1183108,6.112531128,4301.082139,109.4551589,95.51743919,95.07317542,0,0
1024,30.97325898,58.293715,4.840273437,2656.272373,109.737748,305.63932630000005,84.23709288,0,2
1025,51.55950186,116.5765721,5.65994812,4207.209873,106.1621759,101.4473934,86.60829946,0,0
1029,36.50332586,69.92604369,4.822610474,3513.4560130000004,100.1775172,110.5252932,80.81975776,1,0
1031,43.78287023,85.37296078,4.953005981,3821.913277,94.24947627,80.30045017,75.57731573,0,0
1036,7.660336172999999,0.418327665,1.198224487,3332.170606,91.38058399,82.78447463,74.16306781,0,2
1037,19.88422614,30.93156572,2.656727905,4391.940623,87.97873249,165.94231200000004,83.63088541,1,0
