,PitchNo,PAofInning,PitchofPA,PitcherId,PitcherThrows,BatterId,BatterSide,Inning,Outs,Balls,Strikes,OutsOnPlay,RunsScored,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,3B,5_6_Hole,SS,Up_the_Middle,2B,3_4_Hole,1B,PlayResult
3354,183,4,2,10000006.0,1,8888443.0,1,6,1,0,1,1,1,82.08888399,-0.020101053,-1.67839495,2733.534486,81.29301617,6.550917977,1.558432406,4.917021592,-44.42632792,-1.414348275,-8.97121139,2.829712728,-0.77634068,75.32039709,-8.183490271,-3.337720131,0.47202634,103.0725974,21.39134034,-5.8548436289999986,1648.186135,109.8811693,38.76477749,-5.11099273,353.7767837,347.0572255,1.232716463,3.906316528,4.193748753,-0.7316727390000001,-1.387556625,50.0,6.512869512000001,3.806732773,-119.2409719,-1.5905991519999998,6.0163132070000005,23.69743255,-33.22369951,0,0,0,1,0,0,0,1
3355,195,2,3,8890663.0,1,8890876.0,1,7,0,0,2,1,0,80.30626122,-0.269163419,-3.938663725,1720.8772219999996,181.6749165,6.115476294,2.555601839,5.793357555,-41.53901987,2.570773956,0.076385075,2.402952376,-1.107099473,72.7945084,-8.065580342,-3.92426244,0.478012256,80.47699633,38.02880097,20.38413233,4293.569492000001,99.12987839,73.64277941,47.6787091,271.4380983,140.2530669,32.45401302,4.780241089,-1.324260988,1.474879135,-2.23159795,50.0,6.068797471,8.018203332,-116.4896464,-1.767404238,-1.790159521,25.1912122,-30.18028075,0,0,0,0,0,1,0,0
3356,202,1,4,10000006.0,1,9999668.0,0,7,0,1,2,1,0,82.32067927,-3.037516438,-2.423831838,1482.223206,209.8043085,6.782967354,1.147494577,5.901370914,-26.23867707,15.68480487,9.006917341,1.7718223969999998,-0.353068228,74.21132404,-7.978984156,-0.712845763,0.466015317,94.34524928,33.19428423,15.07806719,3151.384386,106.2919259,66.89378029999999,28.31993052,340.6682479,335.8506738,14.42301591,5.417034302,-5.696247671,9.523646499,-0.957924694,50.0,6.523931514,4.789765838,-119.4164133,-7.114491304,-8.063924416,27.20570782,-18.69184589,0,0,0,0,1,0,0,0
3357,205,2,3,10000006.0,1,8899275.0,1,7,1,1,1,0,0,89.50223262,-3.325752174,-1.893918848,2211.991959,211.9162129,6.893264167000001,1.174340671,5.25353394,-17.15954572,18.91169364,11.80004217,2.333517544,0.377682896,81.03350016,-6.513327857999999,0.313014382,0.432266969,96.5408802,15.54443254,-17.96353109,797.1373751,103.5350242,22.83894697,-37.15485791,246.319503,246.319503,-22.15883536,2.4276354980000003,-6.822079232,11.02460378,-1.009380467,50.0,6.575837869,3.867817585,-129.7766899,-8.161417558,-11.51173183,29.83575832,-13.57088111,0,0,1,0,0,0,0,1
3358,211,3,6,10000006.0,1,8894839.0,0,7,1,3,2,1,0,90.59862968,-3.184349966,-2.157569531,2226.917794,211.7541127,6.916841046,1.174399217,5.276957136,-16.06358853,18.99238327,11.77512861,2.582591208,0.128536295,82.25987959,-6.166943386,0.041222553,0.426140218,88.10061993,23.34960633,-6.949380172000001,3099.480510000001,108.1872121,41.0423508,-19.88780093,313.3759209,294.3338229,-15.3291499,3.995717163,-6.866559763,10.98833337,-0.986089173,50.0,6.614517508,4.523023028,-131.4060705,-7.899300293,-11.92363184,29.63614724,-13.09304639,0,0,1,0,0,0,0,0
3359,220,1,4,9999664.0,0,666179.0,0,8,0,1,2,0,0,80.93455663,-0.82053892,2.044750247,2167.60849,292.2149649,6.250342654,-1.611778915,5.681521401,-43.46552998,-0.31284433100000003,0.6666822729999999,1.862904382,0.35036670299999995,74.09522938,-8.924929929,2.170095316,0.472797785,101.6240125,14.42193671,30.0804163,2427.074479,92.50472079,18.82396292,59.52168437,230.8756922,230.8756922,37.69719049,2.068170166,0.258214409,0.079386522,1.439336833,50.0,6.15433048,-4.220289139,-117.6382802,-3.007776395,0.35895777100000004,23.97647569,-32.06368907,0,0,0,0,0,0,1,1
3360,261,4,7,1000018219.0,0,8899597.0,0,9,1,3,2,1,0,87.25094482,-2.181137997,1.309933908,2163.533692,163.3813721,6.713336254,-0.482823721,4.898788349,-15.24969314,23.36652566,-6.984973382000001,3.378297468,0.174110968,78.33739051,-5.014649042,0.007161306,0.447256223,84.41168831,60.50605327,6.297642774,4226.454781,109.99940359999998,138.2051352,0.353170594,181.9082081,67.32267029,-0.571386828,5.918255005,4.082185396,12.93461795,0.360389326,50.0,6.487633865,-2.636876467,-126.52376809999998,-5.379651817,6.504124444,29.9310552,-11.56539005,0,0,0,1,0,0,0,0
3361,269,1,6,663894.0,1,1000018217.0,0,9,0,3,2,0,0,92.63982559,-3.226224917,-1.775949573,2328.8825460000007,199.4219005,6.500957297999999,1.430505454,4.886112916,-11.27077991,22.79335428,8.047893925,2.505284742,0.420722886,83.84790605,-5.30832753,-0.282409462,0.4200685770000001,106.7108605,11.2731347,2.288022088,1442.31734,109.9468315,19.17533399,3.413284921,308.2216598,307.36555130000005,0.871058634,2.720736694,-4.73234032,12.86022146,-1.263022501,50.0,6.175157667000001,3.847566747,-134.28959369999998,-8.016119064,-8.571474599,31.28825975,-8.880909416,0,0,0,1,0,0,0,1
3362,279,4,3,663894.0,1,8894839.0,0,9,2,0,2,1,0,92.82489136,-0.763024343,-2.184368023,2389.7759,205.6127286,6.318553224,1.493370095,5.261177341000001,-19.97645178,13.69654827,6.5812056939999986,3.936521874,-0.011124153,83.24967509,-4.506594394,-0.948952093,0.41764994,85.53256703,30.48560774,-22.75821738,3350.377513,98.92217368,56.21138697,-48.10813225,309.48047,302.7189387,-31.61753905,4.3109552,-4.212288936,7.510044942,-1.298259866,50.0,6.234440127,4.894673375,-134.7046532,-2.533977142,-7.596677872999999,34.30348201,-18.63001274,0,1,0,0,0,0,0,0
3363,10,2,4,1000018221.0,0,9999983.0,1,1,0,2,1,1,0,86.51324828,-1.6959520330000002,4.3672074510000005,1943.944973,130.7452818,5.959077647999999,-2.786206588,5.35604711,-26.56887212,11.78444668,-13.72065878,2.1495869780000003,0.173554015,78.71070246,-6.6346412710000005,1.810342971,0.445731158,70.37114423,34.8250634,26.17004876,3890.23238,93.48183413,50.02181563,57.97534867,227.239482,209.1758489,36.75516212,3.678274536,8.551439417000001,6.741945225,2.402975677,50.0,5.7877360520000005,-9.104806404,-125.3762162,-4.633502692,13.54044514,26.58607657,-21.49877682,0,0,0,0,0,0,1,0
