,Angle,PositionAt110Y,HangTime,HitSpinRate,PositionAt110X,LastTrackedDistance,ExitSpeed,Bearing,PlayResult,3B,5_6_Hole,SS,Up_the_Middle,2B,3_4_Hole,1B,cluster #
1870,18.38809463,34.80794152,4.038849487,2822.117838,109.0613922,329.0904455,100.631896,-4.647768206,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
1884,21.44489009,36.76254505,3.646361694,1346.213049,109.87043500000001,330.1854879,99.22777591,1.3277078690000002,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
1888,60.94756418,69.95231642,4.618141479,4294.737236,70.01519953,61.69383099,67.8983055,-51.08418099,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
1897,15.99063997,20.35817197,2.4236932369999997,2328.594032,109.8635273,213.52058190000002,80.15832207,5.338820611,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
1908,20.44022165,32.70205676,3.123661499,3880.4310960000003,89.78855418,179.41597119999997,84.65575633,42.15675743,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
1921,17.046817,29.77812248,3.3144757080000002,1869.6324739999998,109.61860420000001,285.69419260000006,94.28317265,-7.398811277999999,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
1922,38.34187311,86.20865638,5.790752563,4174.586157,109.9797622,218.53095930000003,94.55356799,1.527937114,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
1932,53.93179513,145.07440480000002,6.460853882,4072.908,83.48471704,58.82684478,97.12462255,44.27201328,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
1951,10.59871431,10.98407886,1.4601861569999999,2090.106018,96.0519051,170.7286331,96.37808639,-31.39336394,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
1968,27.30707635,51.64896342,4.908275757,3038.188914,109.86512069999999,364.4001938,97.64136872,1.267371703,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
1969,27.90819094,55.772629599999995,5.077285767,3394.080701,108.82922859999998,370.3759615,99.47519391,-5.173358988,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
2004,19.99601927,39.28875597,4.041309204,1978.2672969999999,103.93815450000001,363.962588,108.11809779999999,-25.83239503,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
2013,9.193017481,10.89920437,1.598186646,2699.536956,94.60525489,184.8634165,97.70571954,-33.60276135,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
2014,21.01927461,19.69088422,2.315011597,816.4726375,107.05551640000002,153.7988781,65.13464654,12.93252504,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
2045,15.14760854,26.36176547,2.970125122,915.1782152000001,103.84233420000001,288.37444760000005,102.88806590000002,-21.83767119,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
2055,44.54855208,58.62340273,3.8649981689999997,4069.016057,96.34625344,107.2631145,61.050467299999994,30.59091157,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
2064,24.80219912,46.82844373,4.694776001,3125.855266,109.55051670000002,391.3562195,101.7642821,9.940796769,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
2077,50.55694125,129.8722248,6.471425171,4476.961926,104.86557739999999,90.71745342,98.75682687,-20.51621794,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
2079,29.12341078,57.18317586,4.776463013,4266.509569,109.96239080000001,323.61206410000005,89.45048605,5.6696019070000006,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
2085,7.684135039,8.847638457,1.5945068359999999,2943.833866,105.46086340000001,189.0602886,98.35263986,19.08431446,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
2094,9.531149893,7.429235062999999,1.3797613530000001,2630.2806010000004,94.43994618,152.0826389,89.3150665,32.62710819,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
2100,21.42903351,35.76937683,3.3222198489999997,788.5964512999999,108.7818057,337.8804702,102.4990157,10.81145882,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
2110,7.336686768,3.393846698,1.246427612,1116.627797,109.12931100000002,129.7119672,80.41831261,-7.4074897910000015,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
2123,9.133596826,5.800553422,1.4640557859999999,1066.663278,109.5498929,141.8991861,77.44865366,-5.00737624,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
2135,19.08152714,35.56024929,3.77772644,2499.738645,99.18727887,227.19531439999997,101.5324921,-32.69500315,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
2137,20.15386503,31.454019,3.0115802000000005,2281.612776,94.04882655,196.02637380000002,97.00601821,-38.99367786,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
2143,37.08720853,77.29323269,5.47500061,4361.292168,109.8960381,341.0910095000001,91.94132048,4.112267825,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
2147,20.38360979,33.21852983,3.327893677,3469.068425,104.0214812,272.39815689999995,85.17661128,23.10624889,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
2149,23.26030796,31.85872782,3.001088867,2318.105614,108.5450024,225.8003074,71.60444047,-12.01213625,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
2156,27.31602767,56.28014079,5.163646851,2803.415409,109.183865,397.7115422,101.6008402,-5.842204565,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
2174,19.56868122,16.71911598,2.03828064,1014.230837,109.94536709999998,162.88226609999995,69.48607936,-1.55709727,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
