,Batter_ID,Up_The_Middle_BIP,Up_The_Middle_Hit,Up_The_Middle_BIP+Hit,SS_BIP,SS_Hit,SS_BIP+Hit,3_4_Hole_BIP,3_4_Hole_Hit,3_4_Hole_BIP+Hit,1B_BIP,1B_Hit,1B_BIP+Hit,5_6_Hole_BIP,5_6_Hole_Hit,5_6_Hole_BIP+Hit,2B_BIP,2B_Hit,2B_BIP+Hit,3B_BIP,3B_Hit,3B_BIP+Hit
197,8892080,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
198,9999255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
199,8901125,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
200,8893025,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
201,8893010,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202,8893031,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
203,8893029,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
204,8893014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
205,656717,5,3,25,1,0,0,0,0,0,1,1,8.333333333,5,4,33.33333333,0,0,0,0,0,0
206,8900955,1,1,16.66666667,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,3,1,16.66666667
207,8888416,1,0,0,2,1,16.66666667,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0
208,656361,5,2,22.22222222,1,1,11.11111111,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0
209,8883660,2,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
210,8883653,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
211,8883670,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0
212,8882450,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0
213,680575,3,1,14.28571429,0,0,0,2,2,28.57142857,1,0,0,0,0,0,1,0,0,0,0,0
214,8892157,1,1,50,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
215,8893474,2,1,25,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
216,10000737,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
217,8893485,1,1,20,0,0,0,0,0,0,0,0,0,3,2,40,0,0,0,1,0,0
