,Angle,Direction,HangTime,LastTrackedDistance,ExitSpeed,3B,5_6_Hole,SS,Up_the_Middle,2B,3_4_Hole,1B,PlayResult
864,0.9077598466270448,0.1155905305655821,0.14444459671981486,0.16598064750667352,0.7783798447306863,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
865,0.9272979055888994,0.200465417185658,0.2871708435065294,0.20129054016147147,0.343428956444471,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
866,0.8733166183985638,0.15279577354676294,0.12931380197728884,0.1459727181825774,0.8101263493178871,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
867,0.957360597612488,0.8047875715444899,0.4028968029463022,0.3865649313846661,0.6601453719806974,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
868,0.9786467724663152,0.3389948720098221,0.457989960116551,0.4382859849712663,0.6760709362685887,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
869,0.9708700308421704,0.24840271621075355,0.3472454795036336,0.3522956263509502,0.6981842488323101,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
870,0.7559048953070282,0.25886108696108345,0.03077956039801178,0.030820744884650177,0.7999076275447526,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
871,0.7030012465385822,0.2913831482748752,0.04655165338789058,0.04938135823059544,0.3779946645207967,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
872,0.5915909825498691,0.7639535030834451,0.028682096180235313,0.02045601366122695,0.5744593654134171,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
873,0.8933618720786023,0.3168734275154457,0.15442582342670189,0.1497651647414168,0.6063513977811749,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
874,0.8786344368345546,0.543745665391289,0.12032740873322065,0.11351711807550365,0.7915834640040199,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
875,0.985306468111652,0.6340920047656714,0.5061585616610692,0.4865268728394626,0.7042395915827074,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
876,0.9419855547654548,0.5468211536984341,0.23471139276528385,0.25168471666226483,0.7509665367901505,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
877,0.7571847988145758,0.23821523743231746,0.03860577072976319,0.034215496623027135,0.7532354036516914,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
878,0.9578182262269476,0.7128815957439909,0.42995555695097104,0.4245587043743067,0.7200475623577375,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
879,0.8463115962476371,0.8362772080886198,0.12972032283518367,0.07933657858981674,0.24864889641886603,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
880,0.9516952694370092,0.11858407340178195,0.32034293892514754,0.3104136080277767,0.6494588055132952,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
881,0.9582681016491948,0.34230224263624986,0.325540923843194,0.2726312738256712,0.5135852375671488,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
882,0.9868475582605619,0.6825429769443436,0.4311751195246555,0.4321763263135635,0.7302841002499966,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
883,0.9862311661771302,0.3102299132533608,0.5747546033866198,0.5669303104519781,0.7596621217111622,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
884,0.8793063752211623,0.8674977489173956,0.1081829433798869,0.11284767823061168,0.6936187225344851,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
885,0.9519730255930244,0.09113617379788737,0.2836455321468249,0.2994479298854257,0.7719040994698984,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
886,0.9044615546085404,0.2776890064154844,0.0958210574349943,0.11812941117068565,0.8314952734560984,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
