,Batter_ID,BIP_middle,actual_hits_middle,expected_hits_middle,shifted_hits_middle,BIP_SS,actual_hits_SS,expected_hits_SS,shifted_hits_SS,BIP_3_4,actual_hits_3_4,expected_hits_3_4,shifted_hits_3_4BIP_1B,actual_hits_1B,expected_hits_1B,shifted_hits_1B,BIP_5_6,actual_hits_5_6,expected_hits_5_6,shifted_hits_5_6BIP_2B,actual_hits_2B,expected_hits_2B,shifted_hits_2BBIP_3B,actual_hits_3B,expected_hits_3B,shifted_hits_3BBIP,total_expected_hits,total_shifted_hits,BIP,BIP_1B,BIP_2B,BIP_3B,shifted_hits_2B,shifted_hits_3B,shifted_hits_3_4,shifted_hits_5_6
122,670136.0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,,0,0,,0,0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
123,900084.0,0,0,0,0,1,0,0,0,0,0,0,,0,0,0,1,0,1,,0,0,,0,0,,1,1,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
124,8891418.0,1,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,,0,0,,0,0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
125,900067.0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,1,1,,0,0,,1,0,3.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0
126,663728.0,1,1,0,0,2,2,1,1,1,0,1,,0,0,0,0,0,0,,0,0,,0,0,,2,2,8.0,3.0,1.0,0.0,0.0,0.0,1.0,0.0
127,900083.0,1,0,0,0,1,1,0,0,0,0,0,,0,0,0,0,0,0,,1,0,,0,0,,0,0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
128,663622.0,4,2,2,0,0,0,0,0,2,1,0,,0,0,0,0,0,0,,0,0,,0,0,,2,0,10.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0
129,900068.0,0,0,0,0,1,1,0,0,0,0,0,,0,0,0,1,1,1,,0,0,,0,0,,1,1,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
130,900077.0,1,0,0,0,1,0,0,0,0,0,0,,0,0,0,1,1,0,,0,0,,0,0,,0,1,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
131,8891416.0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,,0,0,,0,0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
132,8880056.0,2,1,2,0,0,0,0,0,0,0,0,,1,0,0,0,0,0,,0,0,,0,0,,2,0,5.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0
133,8890000.0,4,2,1,0,2,1,0,1,2,2,1,,0,0,0,0,0,0,,0,0,,0,0,,2,2,13.0,2.0,3.0,0.0,0.0,0.0,1.0,0.0
134,8882314.0,8,4,3,0,4,0,1,1,0,0,0,,0,0,0,0,0,0,,0,0,,0,0,,4,1,14.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
135,8880069.0,1,0,0,0,3,0,1,1,0,0,0,,0,0,0,1,1,1,,0,0,,0,0,,2,2,7.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0
136,8890004.0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,,0,0,,0,0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
