,Angle,PositionAt110Y,HangTime,HitSpinRate,PositionAt110X,LastTrackedDistance,ExitSpeed,PlayResult,cluster #
38,10.28198941,14.38041397,1.66079834,1279.694143,99.38164136,201.4329498,106.1368056,1,2
39,18.23228021,21.37033851,2.584644165,2478.240824,109.6627502,193.7942652,68.07231104,1,0
42,5.250086327,1.961903482,0.8958691409999999,1068.019536,105.3568995,122.5544736,104.7291905,1,2
43,17.53438272,32.43864343,3.552911987,1843.349133,109.5034533,340.6587097000001,98.9538578,0,2
44,25.56324193,48.4304701,4.433915405,2670.088189,108.5157413,327.0567032,85.58685247,1,0
46,48.09785875,103.2361513,5.063779907,2170.053479,107.4938848,123.5766762,78.60307633,0,2
47,12.40203845,23.74261712,2.876037598,2052.548923,108.63011670000002,315.2626402,104.8226191,1,2
49,20.03536018,24.85834083,2.611721802,2806.816798,96.58079418,192.5554231,70.37068171,1,0
50,32.93353598,68.17156619,5.194238892,2504.5187530000007,105.0514574,298.7874943,85.76783719,0,0
51,45.5972271,113.0545324,6.075706177000001,3260.154396,109.0732748,125.927529,94.31624846,0,0
52,12.77044132,14.25247773,2.048550415,1313.819451,106.5772104,185.9918814,76.89105816,1,2
54,31.39091306,48.3289514,3.530491333,2850.869757,89.94464231,123.3422535,69.34765197,1,0
56,32.33066897,66.04936368,5.397094116,2389.572839,108.4279883,151.1321635,97.36856351,1,0
57,19.19839553,35.66280658,3.656185303,1258.485695,107.0306486,329.1488584,93.15643731,1,2
58,4.215421887,2.7879378260000003,1.045397949,1139.208654,107.5093894,133.7480371,99.89307203,0,2
61,16.34675066,25.50765993,2.951491089,3276.048967,105.3370369,291.2948749,100.4436466,1,0
63,23.95688424,41.33585589,4.0345373539999985,2143.768577,102.4154617,334.2064991000001,89.33107826,1,2
69,24.27785098,46.23833943,4.478255005,1752.235911,101.5161443,350.3403,94.55938459,1,2
70,24.69110293,32.89425565,3.100477295,1073.664961,101.4661156,218.0806449,69.50293563,1,2
71,5.637445208,3.020207982,1.077258911,1060.34356,109.6770316,128.6467055,96.43507501,1,2
72,7.9472916,4.509919825,1.254175415,517.8649845,104.9285729,138.1345779,89.1686613,1,2
74,14.34782182,24.56686881,2.736550293,1123.8889390000004,106.8149938,299.5074595000001,105.4217921,1,2
76,32.3347479,64.34677333,4.933490601,1476.446544,109.8412361,328.2263197,88.99139090000001,0,2
77,19.75121742,32.25996704,3.207366333,1365.133987,97.13527702,323.9809948,103.5199797,1,2
78,40.70832127,63.41691729,3.778980103,2179.900994,94.61494782,122.732233,70.41989452,0,2
79,23.2493464,44.07958193,4.531522827,1645.2273699999996,108.923295,400.06460130000005,105.3415451,1,2
80,53.72999379,114.6476038,5.269196167,3227.8308420000008,94.68892881,84.61899313,85.47615017,0,0
81,17.03185251,28.04993716,3.0105181880000003,1392.521751,98.84153615,262.9459254,93.43428272,0,2
82,22.23524194,39.80647469,4.088614502,1690.946721,109.339377,374.2112333,103.7681614,1,2
83,15.87895248,23.92018347,2.845786743,1531.694335,101.1328952,247.3312525,86.16774712,0,2
84,13.76245531,21.79787885,2.746147461,1236.336392,107.1893001,283.8577328,97.15751865,1,2
86,24.56616561,37.20448344,3.3857836910000003,3275.615444,109.2617382,267.9027736,81.17944995,1,0
87,9.493044969,11.48270137,1.851373901,2885.126744,102.2515323,198.5933066,94.93280418,1,0
88,44.23966214,95.59689915,5.524755249,2396.351984,106.2925942,184.5529501,89.25375291,0,0
89,22.14096872,43.38258647,4.398173218,1539.439545,105.5704778,362.6158236,95.89580486,1,2
90,14.61579954,25.14408746,2.652835693,781.2943785,108.7097204,276.0811904,99.60291772,1,2
91,7.64201557,2.930275714,1.187478638,1899.526709,109.6354215,52.55313087,83.05699636,0,2
92,7.012971317000001,7.277310337,1.547227173,2925.6374920000007,101.7602878,174.5059618,95.88422356,0,0
93,49.92134332,112.2737797,5.405796509,2386.682381,98.12230152,93.50232014,86.37922172,0,0
100,7.633959892999999,8.752386148,1.414920654,864.5629164999998,109.5902213,176.6369466,100.8567016,1,2
101,10.87849133,12.16758971,1.834815063,3357.431282,95.67711019,179.0971491,83.70966211,1,0
102,23.36908699,35.3838114,3.3366424560000003,800.0119602999998,105.2512519,253.5273815,76.64966517,0,2
103,23.16826684,44.87002254,4.474057007,1086.873565,107.3035384,320.6111446999999,94.30947667,0,2
104,17.10133011,17.09453611,2.046655884,823.1916682,105.4752775,179.9333017,75.88497828,1,2
109,11.76202253,19.42066871,2.494833984,1172.816848,109.2794524,266.9538076,101.2405658,1,2
111,28.46526184,50.84995368,4.311692505,2234.849179,103.2422196,256.7701909,85.4435721,0,0
112,35.18222143,69.29357055,4.872227173,1685.143623,109.8394138,242.9851113,80.09150964,0,2
115,6.817699644,4.5789397130000005,1.235620117,1060.308112,109.4637932,146.3924296,92.87466914,1,2
117,6.878296819,0.888930483,0.89803833,1398.811991,107.8081843,114.6918913,96.00970042,0,2
121,15.42411525,22.046929100000003,2.56088623,1355.2061609999996,109.2943693,227.6380427,82.70150117,1,2
124,24.28535591,41.13874106,3.626447144,2362.572337,109.9490607,260.16049330000004,78.50508195,0,0
128,42.76131373,99.18655158,5.494026489,2262.297695,108.2323961,154.691114,88.12893278,0,0
129,12.81678084,16.70528267,2.046574097,2574.320211,86.56472475,144.70054840000003,102.0018866,1,0
